step,tokens,train_loss,val_loss,lr,tok_per_sec
4380,1148190720,3.2081,,2.944115e-04,124886
4390,1150812160,3.1964,,2.943787e-04,124961
4400,1153433600,3.2057,,2.943457e-04,124876
4410,1156055040,3.2146,,2.943126e-04,124819
4420,1158676480,3.2326,,2.942794e-04,124989
4430,1161297920,3.1797,,2.942461e-04,124721
4440,1163919360,3.2095,,2.942128e-04,124644
4450,1166540800,3.1910,,2.941793e-04,124450
4460,1169162240,3.2043,,2.941457e-04,124736
4470,1171783680,3.2026,,2.941121e-04,124374
4480,1174405120,3.1988,,2.940784e-04,124975
4490,1177026560,3.1735,,2.940445e-04,124851
4500,1179648000,3.2045,,2.940106e-04,124884
4500,1179648000,,3.1932,2.940106e-04,
4510,1182269440,3.2094,,2.939766e-04,126979
4520,1184890880,3.1727,,2.939424e-04,125770
4530,1187512320,3.1675,,2.939082e-04,125871
4540,1190133760,3.1953,,2.938739e-04,125513
4550,1192755200,3.1876,,2.938395e-04,125464
4560,1195376640,3.1919,,2.938050e-04,125469
4570,1197998080,3.2058,,2.937704e-04,125646
4580,1200619520,3.1969,,2.937357e-04,123631
4590,1203240960,3.1964,,2.937010e-04,125120
4600,1205862400,3.2037,,2.936661e-04,123258
4610,1208483840,3.1741,,2.936311e-04,124865
4620,1211105280,3.1881,,2.935961e-04,125475
4630,1213726720,3.1749,,2.935609e-04,125477
4640,1216348160,3.1701,,2.935256e-04,125537
4650,1218969600,3.1837,,2.934903e-04,125552
4660,1221591040,3.2141,,2.934549e-04,125604
4670,1224212480,3.1678,,2.934193e-04,124786
4680,1226833920,3.1779,,2.933837e-04,125637
4690,1229455360,3.2080,,2.933480e-04,125626
4700,1232076800,3.1630,,2.933122e-04,125324
4710,1234698240,3.1689,,2.932763e-04,125601
4720,1237319680,3.1897,,2.932403e-04,125201
4730,1239941120,3.1667,,2.932042e-04,125528
4740,1242562560,3.1637,,2.931680e-04,125389
4750,1245184000,3.1974,,2.931317e-04,125458
4760,1247805440,3.1693,,2.930953e-04,125555
4770,1250426880,3.2022,,2.930589e-04,125370
4780,1253048320,3.1700,,2.930223e-04,125587
4790,1255669760,3.1920,,2.929857e-04,125433
4800,1258291200,3.1894,,2.929489e-04,125561
4810,1260912640,3.1765,,2.929121e-04,125468
4820,1263534080,3.1942,,2.928751e-04,125348
4830,1266155520,3.1895,,2.928381e-04,125176
4840,1268776960,3.2061,,2.928010e-04,124922
4850,1271398400,3.1586,,2.927638e-04,124688
4860,1274019840,3.1782,,2.927265e-04,124970
4870,1276641280,3.1817,,2.926891e-04,124908
4880,1279262720,3.1925,,2.926516e-04,124795
4890,1281884160,3.1696,,2.926140e-04,124876
4900,1284505600,3.1976,,2.925763e-04,124925
4910,1287127040,3.1977,,2.925385e-04,124800
4920,1289748480,3.1781,,2.925007e-04,124875
4930,1292369920,3.1550,,2.924627e-04,125000
4940,1294991360,3.1797,,2.924247e-04,125350
4950,1297612800,3.1588,,2.923865e-04,125387
4960,1300234240,3.1438,,2.923483e-04,125489
4970,1302855680,3.1783,,2.923099e-04,125062
4980,1305477120,3.1443,,2.922715e-04,124804
4990,1308098560,3.1618,,2.922330e-04,124799
5000,1310720000,3.2013,,2.921944e-04,124904
5000,1310720000,,3.1661,2.921944e-04,
